Epoch,Average reward,Min reward,Max reward,Cumulative Reward
177,0.8,0.0,3.0,8.0
178,1.5,0.0,3.0,15.0
179,2.3,0.0,5.0,23.0
180,2.7,0.0,7.0,27.0
181,2.1,0.0,5.0,21.0
182,1.0,0.0,3.0,10.0
183,3.8,0.0,13.0,38.0
184,1.4,0.0,4.0,14.0
185,1.9,0.0,4.0,19.0
186,1.7,0.0,5.0,17.0
187,1.5,0.0,5.0,15.0
188,1.4,0.0,4.0,14.0
189,1.8,0.0,5.0,18.0
